Gene	UniProt	Domain_Name	Start	End
FAT4	FAT4	Cadherin 3	251	353
FAT4	FAT4	Cadherin 4	359	475
FAT4	FAT4	Cadherin 5	476	582
FAT4	FAT4	Cadherin 6	584	689
FAT4	FAT4	Cadherin 7	690	793
FAT4	FAT4	Cadherin 8	794	893
FAT4	FAT4	Cadherin 9	894	996
FAT4	FAT4	Cadherin 10	997	1100
FAT4	FAT4	Cadherin 11	1101	1210
FAT4	FAT4	Cadherin 12	1211	1315
FAT4	FAT4	Cadherin 13	1316	1420
FAT4	FAT4	Cadherin 14	1421	1529
FAT4	FAT4	Cadherin 15	1529	1629
FAT4	FAT4	Cadherin 16	1630	1740
FAT4	FAT4	Cadherin 17	1741	1841
FAT4	FAT4	Cadherin 18	1842	1944
FAT4	FAT4	Cadherin 19	1945	2051
FAT4	FAT4	Cadherin 20	2051	2154
FAT4	FAT4	Cadherin 21	2155	2259
FAT4	FAT4	Cadherin 22	2260	2364
FAT4	FAT4	Cadherin 23	2365	2466
FAT4	FAT4	Cadherin 24	2467	2567
FAT4	FAT4	Cadherin 25	2568	2669
FAT4	FAT4	Cadherin 26	2670	2773
FAT4	FAT4	Cadherin 27	2773	2872
FAT4	FAT4	Cadherin 28	2873	2983
FAT4	FAT4	Cadherin 29	2984	3089
FAT4	FAT4	Cadherin 30	3090	3194
FAT4	FAT4	Cadherin 31	3195	3298
FAT4	FAT4	Cadherin 32	3299	3404
FAT4	FAT4	Cadherin 33	3405	3510
FAT4	FAT4	Cadherin 34	3509	3620
FAT4	FAT4	EGF-like 1	3802	3860
FAT4	FAT4	EGF-like 2; calcium-binding	3862	3898
FAT4	FAT4	EGF-like 3; calcium-binding	3900	3936
FAT4	FAT4	EGF-like 4	3938	3974
FAT4	FAT4	Laminin G-like 1	3975	4159
FAT4	FAT4	EGF-like 5	4162	4198
FAT4	FAT4	Laminin G-like 2	4217	4398
FAT4	FAT4	EGF-like 6	4426	4463
FIBCD1	FBCD1	Fibrinogen C-terminal	235	458
FBH1	FBH1	F-box	138	184
FBH1	FBH1	UvrD-like helicase ATP-binding	442	705
FBLIM1	FBLI1	LIM zinc-binding 1	181	242
FBLIM1	FBLI1	LIM zinc-binding 2	243	300
FBLIM1	FBLI1	LIM zinc-binding 3	301	370
FBLN1	FBLN1	Anaphylatoxin-like 1	36	76
FBLN1	FBLN1	Anaphylatoxin-like 2	77	111
FBLN1	FBLN1	Anaphylatoxin-like 3	112	144
FBLN1	FBLN1	EGF-like 1	176	215
FBLN1	FBLN1	EGF-like 2; calcium-binding	216	261
FBLN1	FBLN1	EGF-like 3; calcium-binding	262	307
FBLN1	FBLN1	EGF-like 4; calcium-binding	308	355
FBLN1	FBLN1	EGF-like 5; calcium-binding	356	398
FBLN1	FBLN1	EGF-like 6; calcium-binding	399	440
FBLN1	FBLN1	EGF-like 7; calcium-binding	441	480
FBLN1	FBLN1	EGF-like 8; calcium-binding	481	524
FBLN1	FBLN1	EGF-like 9; calcium-binding	525	578
FBLN2	FBLN2	Anaphylatoxin-like 1	445	480
FBLN2	FBLN2	Anaphylatoxin-like 2	488	519
FBLN2	FBLN2	Anaphylatoxin-like 3	521	553
FBLN2	FBLN2	EGF-like 1; calcium-binding	604	645
FBLN2	FBLN2	EGF-like 2	679	718
FBLN2	FBLN2	EGF-like 3; calcium-binding	719	763
FBLN2	FBLN2	EGF-like 4; calcium-binding	764	809
FBLN2	FBLN2	EGF-like 5; calcium-binding	810	857
FBLN2	FBLN2	EGF-like 6; calcium-binding	858	900
FBLN2	FBLN2	EGF-like 7; calcium-binding	901	942
FBLN2	FBLN2	EGF-like 8; calcium-binding	943	981
FBLN2	FBLN2	EGF-like 9; calcium-binding	982	1024
FBLN2	FBLN2	EGF-like 10; calcium-binding	1025	1069
EFEMP1	FBLN3	EGF-like 1; atypical	26	71
EFEMP1	FBLN3	EGF-like 2; calcium-binding	173	213
EFEMP1	FBLN3	EGF-like 3; calcium-binding	214	253
EFEMP1	FBLN3	EGF-like 4; calcium-binding	254	293
EFEMP1	FBLN3	EGF-like 5; calcium-binding	294	333
EFEMP1	FBLN3	EGF-like 6; calcium-binding	334	378
EFEMP2	FBLN4	EGF-like 1; atypical	36	81
EFEMP2	FBLN4	EGF-like 2; calcium-binding	123	163
EFEMP2	FBLN4	EGF-like 3; calcium-binding	164	202
EFEMP2	FBLN4	EGF-like 4; calcium-binding	203	242
EFEMP2	FBLN4	EGF-like 5; calcium-binding	243	282
EFEMP2	FBLN4	EGF-like 6; calcium-binding	283	328
FBLN5	FBLN5	EGF-like 1; calcium-binding	42	82
FBLN5	FBLN5	EGF-like 2; calcium-binding	127	167
FBLN5	FBLN5	EGF-like 3; calcium-binding	168	206
FBLN5	FBLN5	EGF-like 4; calcium-binding	207	246
FBLN5	FBLN5	EGF-like 5; calcium-binding	247	287
FBLN5	FBLN5	EGF-like 6; calcium-binding	288	333
FBLN7	FBLN7	Sushi	79	136
FBLN7	FBLN7	EGF-like 1; calcium-binding	136	172
FBLN7	FBLN7	EGF-like 2; calcium-binding	224	269
FBLN7	FBLN7	EGF-like 3; calcium-binding	270	319
FBN1	FBN1	EGF-like 1	81	112
FBN1	FBN1	EGF-like 2	115	146
FBN1	FBN1	EGF-like 3	147	178
FBN1	FBN1	TB 1	184	236
FBN1	FBN1	EGF-like 4; calcium-binding	246	287
FBN1	FBN1	EGF-like 5; calcium-binding	288	329
FBN1	FBN1	TB 2	334	389
FBN1	FBN1	EGF-like 6	449	489
FBN1	FBN1	EGF-like 7; calcium-binding	490	529
FBN1	FBN1	EGF-like 8; calcium-binding	530	571
FBN1	FBN1	EGF-like 9; calcium-binding	572	612
FBN1	FBN1	EGF-like 10; calcium-binding	613	653
FBN1	FBN1	TB 3	659	711
FBN1	FBN1	EGF-like 11; calcium-binding	723	764
FBN1	FBN1	EGF-like 12; calcium-binding	765	806
FBN1	FBN1	EGF-like 13; calcium-binding	807	846
FBN1	FBN1	TB 4	851	902
FBN1	FBN1	EGF-like 14; calcium-binding	910	951
FBN1	FBN1	TB 5	956	1008
FBN1	FBN1	EGF-like 15; calcium-binding	1028	1069
FBN1	FBN1	EGF-like 16; calcium-binding	1070	1112
FBN1	FBN1	EGF-like 17; calcium-binding	1113	1154
FBN1	FBN1	EGF-like 18; calcium-binding	1155	1196
FBN1	FBN1	EGF-like 19; calcium-binding	1197	1237
FBN1	FBN1	EGF-like 20; calcium-binding	1238	1279
FBN1	FBN1	EGF-like 21; calcium-binding	1280	1321
FBN1	FBN1	EGF-like 22; calcium-binding	1322	1362
FBN1	FBN1	EGF-like 23; calcium-binding	1363	1403
FBN1	FBN1	EGF-like 24; calcium-binding	1404	1445
FBN1	FBN1	EGF-like 25; calcium-binding	1446	1486
FBN1	FBN1	EGF-like 26; calcium-binding	1487	1527
FBN1	FBN1	TB 6	1532	1589
FBN1	FBN1	EGF-like 27; calcium-binding	1606	1647
FBN1	FBN1	EGF-like 28; calcium-binding	1648	1688
FBN1	FBN1	TB 7	1693	1748
FBN1	FBN1	EGF-like 29; calcium-binding	1766	1807
FBN1	FBN1	EGF-like 30; calcium-binding	1808	1848
FBN1	FBN1	EGF-like 31; calcium-binding	1849	1890
FBN1	FBN1	EGF-like 32; calcium-binding	1891	1929
FBN1	FBN1	EGF-like 33; calcium-binding	1930	1972
FBN1	FBN1	EGF-like 34; calcium-binding	1973	2012
FBN1	FBN1	EGF-like 35; calcium-binding	2013	2054
FBN1	FBN1	TB 8	2059	2111
FBN1	FBN1	EGF-like 36; calcium-binding	2127	2165
FBN1	FBN1	EGF-like 37; calcium-binding	2166	2205
FBN1	FBN1	EGF-like 38; calcium-binding	2206	2246
FBN1	FBN1	EGF-like 39; calcium-binding	2247	2290
FBN1	FBN1	EGF-like 40; calcium-binding	2291	2332
FBN1	FBN1	TB 9	2337	2390
FBN1	FBN1	EGF-like 41; calcium-binding	2402	2443
FBN1	FBN1	EGF-like 42; calcium-binding	2444	2484
FBN1	FBN1	EGF-like 43; calcium-binding	2485	2523
FBN1	FBN1	EGF-like 44; calcium-binding	2524	2566
FBN1	FBN1	EGF-like 45; calcium-binding	2567	2606
FBN1	FBN1	EGF-like 46; calcium-binding	2607	2647
FBN1	FBN1	EGF-like 47; calcium-binding	2648	2687
FBN2	FBN2	EGF-like 1	111	142
FBN2	FBN2	EGF-like 2	145	176
FBN2	FBN2	EGF-like 3	176	208
FBN2	FBN2	TB 1	214	266
FBN2	FBN2	EGF-like 4; calcium-binding	276	317
FBN2	FBN2	EGF-like 5; calcium-binding	318	359
FBN2	FBN2	TB 2	364	417
FBN2	FBN2	EGF-like 6	494	534
FBN2	FBN2	EGF-like 7; calcium-binding	535	574
FBN2	FBN2	EGF-like 8; calcium-binding	575	616
FBN2	FBN2	EGF-like 9; calcium-binding	617	657
FBN2	FBN2	EGF-like 10; calcium-binding	658	698
FBN2	FBN2	TB 3	704	756
FBN2	FBN2	EGF-like 11; calcium-binding	768	809
FBN2	FBN2	EGF-like 12; calcium-binding	810	851
FBN2	FBN2	EGF-like 13; calcium-binding	852	891
FBN2	FBN2	TB 4	896	947
FBN2	FBN2	EGF-like 14; calcium-binding	955	996
FBN2	FBN2	TB 5	1001	1052
FBN2	FBN2	EGF-like 15; calcium-binding	1073	1114
FBN2	FBN2	EGF-like 16; calcium-binding	1115	1157
FBN2	FBN2	EGF-like 17; calcium-binding	1158	1199
FBN2	FBN2	EGF-like 18; calcium-binding	1200	1241
FBN2	FBN2	EGF-like 19; calcium-binding	1242	1282
FBN2	FBN2	EGF-like 20; calcium-binding	1283	1324
FBN2	FBN2	EGF-like 21; calcium-binding	1325	1366
FBN2	FBN2	EGF-like 22; calcium-binding	1367	1407
FBN2	FBN2	EGF-like 23; calcium-binding	1408	1448
FBN2	FBN2	EGF-like 24; calcium-binding	1449	1490
FBN2	FBN2	EGF-like 25; calcium-binding	1491	1531
FBN2	FBN2	EGF-like 26; calcium-binding	1532	1572
FBN2	FBN2	TB 6	1577	1633
FBN2	FBN2	EGF-like 27; calcium-binding	1650	1691
FBN2	FBN2	EGF-like 28; calcium-binding	1692	1733
FBN2	FBN2	TB 7	1738	1791
FBN2	FBN2	EGF-like 29; calcium-binding	1808	1849
FBN2	FBN2	EGF-like 30; calcium-binding	1850	1891
FBN2	FBN2	EGF-like 31; calcium-binding	1892	1933
FBN2	FBN2	EGF-like 32; calcium-binding	1934	1972
FBN2	FBN2	EGF-like 33; calcium-binding	1973	2015
FBN2	FBN2	EGF-like 34; calcium-binding	2016	2055
FBN2	FBN2	EGF-like 35; calcium-binding	2056	2097
FBN2	FBN2	TB 8	2102	2155
FBN2	FBN2	EGF-like 36; calcium-binding	2171	2212
FBN2	FBN2	EGF-like 37; calcium-binding	2213	2252
FBN2	FBN2	EGF-like 38; calcium-binding	2253	2293
FBN2	FBN2	EGF-like 39; calcium-binding	2294	2337
FBN2	FBN2	EGF-like 40; calcium-binding	2338	2379
FBN2	FBN2	TB 9	2384	2437
FBN2	FBN2	EGF-like 41; calcium-binding	2449	2490
FBN2	FBN2	EGF-like 42; calcium-binding	2491	2531
FBN2	FBN2	EGF-like 43; calcium-binding	2532	2570
FBN2	FBN2	EGF-like 44; calcium-binding	2571	2613
FBN2	FBN2	EGF-like 45; calcium-binding	2614	2653
FBN2	FBN2	EGF-like 46; calcium-binding	2654	2694
FBN2	FBN2	EGF-like 47; calcium-binding	2695	2734
FBN3	FBN3	EGF-like 1	147	179
FBN3	FBN3	TB 1	185	237
FBN3	FBN3	EGF-like 2; calcium-binding	247	288
FBN3	FBN3	TB 2	293	346
FBN3	FBN3	EGF-like 3	408	448
FBN3	FBN3	EGF-like 4; calcium-binding	449	488
FBN3	FBN3	EGF-like 5; calcium-binding	489	530
FBN3	FBN3	EGF-like 6; calcium-binding	531	571
FBN3	FBN3	EGF-like 7; calcium-binding	572	612
FBN3	FBN3	TB 3	618	670
FBN3	FBN3	EGF-like 8; calcium-binding	682	723
FBN3	FBN3	EGF-like 9; calcium-binding	724	765
FBN3	FBN3	EGF-like 10; calcium-binding	766	805
FBN3	FBN3	TB 4	810	861
FBN3	FBN3	EGF-like 11; calcium-binding	869	910
FBN3	FBN3	TB 5	915	966
FBN3	FBN3	EGF-like 12; calcium-binding	986	1027
FBN3	FBN3	EGF-like 13; calcium-binding	1028	1070
FBN3	FBN3	EGF-like 14; calcium-binding	1071	1112
FBN3	FBN3	EGF-like 15; calcium-binding	1113	1154
FBN3	FBN3	EGF-like 16; calcium-binding	1155	1195
FBN3	FBN3	EGF-like 17	1196	1237
FBN3	FBN3	EGF-like 18; calcium-binding	1238	1279
FBN3	FBN3	EGF-like 19; calcium-binding	1280	1320
FBN3	FBN3	EGF-like 20; calcium-binding	1321	1361
FBN3	FBN3	EGF-like 21; calcium-binding	1362	1403
FBN3	FBN3	EGF-like 22; calcium-binding	1404	1444
FBN3	FBN3	EGF-like 23; calcium-binding	1445	1485
FBN3	FBN3	TB 6	1490	1546
FBN3	FBN3	EGF-like 24; calcium-binding	1563	1604
FBN3	FBN3	EGF-like 25; calcium-binding	1605	1646
FBN3	FBN3	TB 7	1651	1703
FBN3	FBN3	EGF-like 26; calcium-binding	1721	1762
FBN3	FBN3	EGF-like 27; calcium-binding	1763	1804
FBN3	FBN3	EGF-like 28	1805	1846
FBN3	FBN3	EGF-like 29; calcium-binding	1847	1885
FBN3	FBN3	EGF-like 30; calcium-binding	1886	1928
FBN3	FBN3	EGF-like 31; calcium-binding	1929	1968
FBN3	FBN3	EGF-like 32; calcium-binding	1969	2010
FBN3	FBN3	TB 8	2015	2068
FBN3	FBN3	EGF-like 33; calcium-binding	2084	2125
FBN3	FBN3	EGF-like 34; calcium-binding	2126	2165
FBN3	FBN3	EGF-like 35; calcium-binding	2166	2206
FBN3	FBN3	EGF-like 36; calcium-binding	2207	2251
FBN3	FBN3	EGF-like 37; calcium-binding	2252	2293
FBN3	FBN3	TB 9	2298	2351
FBN3	FBN3	EGF-like 38; calcium-binding	2363	2404
FBN3	FBN3	EGF-like 39; calcium-binding	2405	2445
FBN3	FBN3	EGF-like 40; calcium-binding	2446	2484
FBN3	FBN3	EGF-like 41; calcium-binding	2485	2527
FBN3	FBN3	EGF-like 42; calcium-binding	2528	2567
FBN3	FBN3	EGF-like 43; calcium-binding	2568	2609
FBN3	FBN3	EGF-like 44; calcium-binding	2610	2649
FNBP1L	FBP1L	F-BAR	1	263
FNBP1L	FBP1L	REM-1	397	474
FNBP1L	FBP1L	SH3	538	599
FBXO45	FBSP1	F-box	33	82
FBXO45	FBSP1	B30.2/SPRY	92	284
FBXW10	FBW10	F-box	276	323
FBXW12	FBW12	F-box	1	45
BTRC	FBW1A	F-box	190	228
FBXW11	FBW1B	F-box	129	167
FBXO10	FBX10	F-box	1	48
FBXO11	FBX11	F-box	153	199
FBXO15	FBX15	F-box	77	117
FBXO16	FBX16	F-box	86	132
FBXO17	FBX17	F-box	15	62
FBXO17	FBX17	FBA	99	275
FBXO21	FBX21	F-box	28	84
FBXO22	FBX22	F-box	21	67
FBXO24	FBX24	F-box	36	82
FBXO25	FBX25	F-box	226	274
FBXO27	FBX27	F-box	23	70
FBXO27	FBX27	FBA	104	280
FBXO28	FBX28	F-box	61	109
FBXO2	FBX2	F-box	44	91
FBXO2	FBX2	FBA	113	296
FBXO30	FBX30	F-box	610	658
FBXO31	FBX31	F-box	64	110
FBXO32	FBX32	F-box	223	271
FBXO33	FBX33	F-box	65	111
FBXO34	FBX34	F-box	572	624
FBXO36	FBX36	F-box	91	137
FBXO38	FBX38	F-box	30	75
FBXO39	FBX39	F-box	16	61
FBXO3	FBX3	F-box	10	56
FBXO3	FBX3	ApaG	278	408
FBXO40	FBX40	F-box	570	624
FBXO41	FBX41	F-box	496	540
FBXO42	FBX42	F-box	44	93
FBXO43	FBX43	F-box	490	547
FBXO44	FBX44	F-box	3	50
FBXO44	FBX44	FBA	71	252
FBXO46	FBX46	F-box	470	522
FBXO47	FBX47	F-box	41	91
FBXO48	FBX48	F-box	32	79
FBXO4	FBX4	F-box	56	102
NCCRP1	FBX50	FBA	95	273
FBXO5	FBX5	F-box	250	296
FBXO6	FBX6	F-box	10	57
FBXO6	FBX6	FBA	78	259
FBXO7	FBX7	F-box	329	375
FBXO8	FBX8	F-box	68	111
FBXO8	FBX8	SEC7	146	276
FBXO9	FBX9	F-box	185	236
FBXL2	FBXL2	F-box	9	55
FBXL3	FBXL3	F-box	34	81
FBXL4	FBXL4	F-box	277	332
FBXL5	FBXL5	F-box	202	248
FBXL6	FBXL6	F-box	10	162
FBXL7	FBXL7	F-box	111	157
FBXL8	FBXL8	F-box	2	48
FBXW2	FBXW2	F-box	54	101
FBXW4	FBXW4	F-box	25	71
FBXW5	FBXW5	F-box	3	49
FBXW7	FBXW7	F-box	278	324
FBXW8	FBXW8	F-box	113	159
FBXW9	FBXW9	F-box	76	123
FCAMR	FCAMR	Ig-like V-type	61	169
FCAR	FCAR	Ig-like C2-type 1	42	107
FCAR	FCAR	Ig-like C2-type 2	139	200
FCER2	FCER2	C-type lectin	162	284
FCER1A	FCERA	Ig-like 1	30	110
FCER1A	FCERA	Ig-like 2	111	193
FCER1G	FCERG	ITAM	54	82
FCF1	FCF1	PINc	67	166
FCGR2A	FCG2A	Ig-like C2-type 1	39	118
FCGR2A	FCG2A	Ig-like C2-type 2	122	204
FCGR2B	FCG2B	Ig-like C2-type 1	48	127
FCGR2B	FCG2B	Ig-like C2-type 2	131	213
FCGR2C	FCG2C	Ig-like C2-type 1	48	127
FCGR2C	FCG2C	Ig-like C2-type 2	131	213
FCGR3A	FCG3A	Ig-like C2-type 1	24	105
FCGR3A	FCG3A	Ig-like C2-type 2	107	189
FCGR3B	FCG3B	Ig-like C2-type 1	40	96
FCGR3B	FCG3B	Ig-like C2-type 2	121	179
FCGBP	FCGBP	VWFD 1	470	650
FCGBP	FCGBP	TIL 1	745	799
FCGBP	FCGBP	VWFD 2	862	1041
FCGBP	FCGBP	TIL 2	1136	1189
FCGBP	FCGBP	VWFD 3	1250	1429
FCGBP	FCGBP	TIL 3	1532	1585
FCGBP	FCGBP	VWFD 4	1671	1854
FCGBP	FCGBP	TIL 4	1950	2007
FCGBP	FCGBP	VWFD 5	2070	2253
FCGBP	FCGBP	TIL 5	2337	2390
FCGBP	FCGBP	VWFD 6	2451	2630
FCGBP	FCGBP	TIL 6	2733	2786
FCGBP	FCGBP	VWFD 7	2872	3055
FCGBP	FCGBP	TIL 7	3151	3208
FCGBP	FCGBP	VWFD 8	3271	3454
FCGBP	FCGBP	TIL 8	3538	3591
FCGBP	FCGBP	VWFD 9	3652	3831
FCGBP	FCGBP	TIL 9	3934	3987
FCGBP	FCGBP	VWFD 10	4073	4256
FCGBP	FCGBP	TIL 10	4352	4409
FCGBP	FCGBP	VWFD 11	4472	4655
FCGBP	FCGBP	TIL 11	4739	4792
FCGBP	FCGBP	VWFD 12	4854	5025
FCGBP	FCGBP	TIL 12	5121	5174
FCGBP	FCGBP	VWFD 13	5233	5404
FCGR1A	FCGR1	Ig-like C2-type 1	22	101
FCGR1A	FCGR1	Ig-like C2-type 2	95	184
FCGR1A	FCGR1	Ig-like C2-type 3	190	277
FCGR1BP	FCGRB	Ig-like C2-type 1	22	101
FCGR1BP	FCGRB	Ig-like C2-type 2	95	184
FCGRT	FCGRN	Ig-like C1-type	202	289
FCHO1	FCHO1	F-BAR	1	248
FCHO1	FCHO1	MHD	625	888
FCHO2	FCHO2	F-BAR	3	250
FCHO2	FCHO2	MHD	542	809
FCMR	FCMR	Ig-like	23	123
FCN1	FCN1	Collagen-like	55	93
FCN1	FCN1	Fibrinogen C-terminal	109	326
FCN2	FCN2	Collagen-like	51	92
FCN2	FCN2	Fibrinogen C-terminal	96	313
FCN3	FCN3	Collagen-like	48	80
FCN3	FCN3	Fibrinogen C-terminal	84	299
FCRL1	FCRL1	Ig-like C2-type 1	17	104
FCRL1	FCRL1	Ig-like C2-type 2	109	200
FCRL1	FCRL1	Ig-like C2-type 3	208	291
FCRL2	FCRL2	Ig-like C2-type 1	20	98
FCRL2	FCRL2	Ig-like C2-type 2	109	187
FCRL2	FCRL2	Ig-like C2-type 3	201	290
FCRL2	FCRL2	Ig-like C2-type 4	300	387
FCRL3	FCRL3	Ig-like C2-type 1	21	98
FCRL3	FCRL3	Ig-like C2-type 2	99	182
FCRL3	FCRL3	Ig-like C2-type 3	192	270
FCRL3	FCRL3	Ig-like C2-type 4	284	369
FCRL3	FCRL3	Ig-like C2-type 5	383	470
FCRL3	FCRL3	Ig-like C2-type 6	476	563
FCRL4	FCRL4	Ig-like C2-type 1	23	97
FCRL4	FCRL4	Ig-like C2-type 2	102	183
FCRL4	FCRL4	Ig-like C2-type 3	193	271
FCRL4	FCRL4	Ig-like C2-type 4	275	374
FCRL5	FCRL5	Ig-like C2-type 1	23	101
FCRL5	FCRL5	Ig-like C2-type 2	188	271
FCRL5	FCRL5	Ig-like C2-type 3	287	374
FCRL5	FCRL5	Ig-like C2-type 4	380	463
FCRL5	FCRL5	Ig-like C2-type 5	473	556
FCRL5	FCRL5	Ig-like C2-type 6	566	651
FCRL5	FCRL5	Ig-like C2-type 7	659	744
FCRL5	FCRL5	Ig-like C2-type 8	752	834
FCRL6	FCRL6	Ig-like C2-type 1	20	95
FCRL6	FCRL6	Ig-like C2-type 2	111	197
FCRL6	FCRL6	Ig-like C2-type 3	207	293
FCRLA	FCRLA	Ig-like C2-type 1	70	159
FCRLA	FCRLA	Ig-like C2-type 2	170	257
FCRLB	FCRLB	Ig-like C2-type 1	23	101
FCRLB	FCRLB	Ig-like C2-type 2	103	189
FCHSD1	FCSD1	F-BAR	12	282
FCHSD1	FCSD1	SH3 1	468	529
FCHSD1	FCSD1	SH3 2	546	609
FCHSD2	FCSD2	F-BAR	8	282
FCHSD2	FCSD2	SH3 1	469	530
FCHSD2	FCSD2	SH3 2	567	629
FDX2	FDX2	2Fe-2S ferredoxin-type	68	170
FDXACB1	FDXA1	FDX-ACB	531	624
FERD3L	FER3L	bHLH	101	153
FERMT1	FERM1	FERM	96	653
FERMT1	FERM1	PH	377	473
FERMT2	FERM2	FERM	189	661
FERMT2	FERM2	PH	380	476
FER	FER	F-BAR	1	259
FER	FER	SH2	460	550
FER	FER	Protein kinase	563	816
FES	FES	F-BAR	1	260
FES	FES	SH2	460	549
FES	FES	Protein kinase	561	822
AFP	FETA	Albumin 1	19	210
AFP	FETA	Albumin 2	211	402
AFP	FETA	Albumin 3	403	601
AHSG	FETUA	Cystatin fetuin-A-type 1	27	133
AHSG	FETUA	Cystatin fetuin-A-type 2	144	255
FETUB	FETUB	Cystatin fetuin-B-type 1	25	138
FETUB	FETUB	Cystatin fetuin-B-type 2	149	255
FGD1	FGD1	DH	373	561
FGD1	FGD1	PH 1	590	689
FGD1	FGD1	PH 2	821	921
FGD2	FGD2	DH	102	290
FGD2	FGD2	PH 1	319	418
FGD2	FGD2	PH 2	544	641
FGD3	FGD3	DH	157	341
FGD3	FGD3	PH 1	370	469
FGD3	FGD3	PH 2	604	703
FGD4	FGD4	DH	206	393
FGD4	FGD4	PH 1	422	521
FGD4	FGD4	PH 2	643	740
FGD5	FGD5	DH	892	1084
FGD5	FGD5	PH 1	1113	1207
FGD5	FGD5	PH 2	1363	1461
FGD6	FGD6	DH	871	1060
FGD6	FGD6	PH 1	1089	1183
FGD6	FGD6	PH 2	1333	1429
FGFR1	FGFR1	Ig-like C2-type 1	25	119
FGFR1	FGFR1	Ig-like C2-type 2	158	246
FGFR1	FGFR1	Ig-like C2-type 3	255	357
FGFR1	FGFR1	Protein kinase	478	767
FGFR2	FGFR2	Ig-like C2-type 1	25	125
FGFR2	FGFR2	Ig-like C2-type 2	154	247
FGFR2	FGFR2	Ig-like C2-type 3	256	358
FGFR2	FGFR2	Protein kinase	481	770
FGFR3	FGFR3	Ig-like C2-type 1	24	126
FGFR3	FGFR3	Ig-like C2-type 2	151	244
FGFR3	FGFR3	Ig-like C2-type 3	253	355
FGFR3	FGFR3	Protein kinase	472	761
FGFR4	FGFR4	Ig-like C2-type 1	22	118
FGFR4	FGFR4	Ig-like C2-type 2	152	240
FGFR4	FGFR4	Ig-like C2-type 3	249	349
FGFR4	FGFR4	Protein kinase	467	755
FGL1	FGL1	Fibrinogen C-terminal	74	306
FGL2	FGL2	Fibrinogen C-terminal	204	436
FGFRL1	FGRL1	Ig-like C2-type 1	29	115
FGFRL1	FGRL1	Ig-like C2-type 2	147	237
FGFRL1	FGRL1	Ig-like C2-type 3	246	354
FGR	FGR	SH3	77	138
FGR	FGR	SH2	144	241
FGR	FGR	Protein kinase	263	516
FHAD1	FHAD1	FHA	18	69
FHDC1	FHDC1	FH2	87	482
FHIT	FHIT	HIT	2	109
FTHL17	FHL17	Ferritin-like diiron	11	160
FTH1P19	FHL19	Ferritin-like diiron	1	123
FHL1	FHL1	LIM zinc-binding 1	40	92
FHL1	FHL1	LIM zinc-binding 2	101	153
FHL1	FHL1	LIM zinc-binding 3	162	212
FHL2	FHL2	LIM zinc-binding 1	40	92
FHL2	FHL2	LIM zinc-binding 2	101	153
FHL2	FHL2	LIM zinc-binding 3	162	212
FHL2	FHL2	LIM zinc-binding 4	221	275
FHL3	FHL3	LIM zinc-binding 1	40	92
FHL3	FHL3	LIM zinc-binding 2	101	153
FHL3	FHL3	LIM zinc-binding 3	162	212
FHL3	FHL3	LIM zinc-binding 4	221	275
FHL5	FHL5	LIM zinc-binding 1	39	100
FHL5	FHL5	LIM zinc-binding 2	101	160
FHL5	FHL5	LIM zinc-binding 3	161	220
FHL5	FHL5	LIM zinc-binding 4	223	283
FHOD1	FHOD1	GBD/FH3	53	458
FHOD1	FHOD1	FH1	487	615
FHOD1	FHOD1	FH2	616	1013
FHOD1	FHOD1	DAD	1053	1133
FHOD3	FHOD3	GBD/FH3	18	411
FHOD3	FHOD3	FH1	827	858
FHOD3	FHOD3	FH2	883	1279
FHOD3	FHOD3	DAD	1359	1391
CFHR1	FHR1	Sushi 1	22	84
CFHR1	FHR1	Sushi 2	85	142
CFHR1	FHR1	Sushi 3	145	203
CFHR1	FHR1	Sushi 4	206	264
CFHR1	FHR1	Sushi 5	273	329
CFHR2	FHR2	Sushi 1	22	84
CFHR2	FHR2	Sushi 2	85	142
CFHR2	FHR2	Sushi 3	147	205
CFHR2	FHR2	Sushi 4	206	268
CFHR3	FHR3	Sushi 1	22	84
CFHR3	FHR3	Sushi 2	85	142
CFHR3	FHR3	Sushi 3	144	205
CFHR3	FHR3	Sushi 4	208	266
CFHR3	FHR3	Sushi 5	267	330
CFHR4	FHR4	Sushi 1	20	85
CFHR4	FHR4	Sushi 2	86	147
CFHR4	FHR4	Sushi 3	148	206
CFHR4	FHR4	Sushi 4	209	267
CFHR4	FHR4	Sushi 5	268	332
CFHR4	FHR4	Sushi 6	333	394
CFHR4	FHR4	Sushi 7	395	453
CFHR4	FHR4	Sushi 8	456	514
CFHR4	FHR4	Sushi 9	515	578
CFHR5	FHR5	Sushi 1	23	83
CFHR5	FHR5	Sushi 2	85	142
CFHR5	FHR5	Sushi 3	145	203
CFHR5	FHR5	Sushi 4	206	264
CFHR5	FHR5	Sushi 5	267	324
CFHR5	FHR5	Sushi 6	329	383
CFHR5	FHR5	Sushi 7	387	444
CFHR5	FHR5	Sushi 8	447	505
CFHR5	FHR5	Sushi 9	507	569
FGA	FIBA	Fibrinogen C-terminal	623	864
FGB	FIBB	Fibrinogen C-terminal	232	488
FGG	FIBG	Fibrinogen C-terminal	170	416
FICD	FICD	Fido	285	420
FIG4	FIG4	SAC	154	547
FIGLA	FIGLA	bHLH	65	117
FLG2	FILA2	EF-hand 1	8	43
FLG2	FILA2	EF-hand 2	49	84
FLG	FILA	EF-hand 1	6	43
